pair_idx,pair_source,scene_name,sequence_name,sequence_b,split_a,split_b,rel_a,rel_b,yaw_diff_deg,pitch_diff_deg,geodesic_rot_deg,baseline,frame_idx_a,frame_idx_b,overlap_amount,metadata_scene,pose_source,quat_convention
4095,selp_metadata,Street,img,img_south,,,Street/img/image2_001167.png,Street/img_south/image_south_1_0355.png,179.985137,0.000064,179.985147,,,,none,Street,selp_npy_quaternion,w2c
4265,selp_metadata,Street,img,img_east,,,Street/img/image2_001229.png,Street/img_east/image_east_0240.png,179.869919,0.000569,179.872227,,,,none,Street,selp_npy_quaternion,w2c
3752,selp_metadata,Street,img_north,img,,,Street/img_north/image_north_2_0127.png,Street/img/image2_001900.png,179.611283,0.030317,179.612171,,,,none,Street,selp_npy_quaternion,w2c
3890,selp_metadata,Street,img_north,img_south,,,Street/img_north/image_north_1_0081.png,Street/img_south/image_south_1_0599.png,179.562385,0.019981,179.562971,,,,none,Street,selp_npy_quaternion,w2c
2176,selp_metadata,Street,img_north,img_south,,,Street/img_north/image_north_1_0085.png,Street/img_south/image_south_1_0595.png,179.522301,0.016685,179.522459,,,,none,Street,selp_npy_quaternion,w2c
4161,selp_metadata,Street,img,img_south,,,Street/img/image2_001600.png,Street/img_south/image_south_1_0438.png,179.507052,0.016241,179.507388,,,,none,Street,selp_npy_quaternion,w2c
3902,selp_metadata,Street,img_north,img_south,,,Street/img_north/image_north_1_0096.png,Street/img_south/image_south_1_0583.png,179.451459,0.003276,179.452772,,,,none,Street,selp_npy_quaternion,w2c
4266,selp_metadata,Street,img_north,img_south,,,Street/img_north/image_north_1_0392.png,Street/img_south/image_south_1_0262.png,179.436629,0.007449,179.441838,,,,none,Street,selp_npy_quaternion,w2c
3569,selp_metadata,Street,img_north,img_south,,,Street/img_north/image_north_1_0093.png,Street/img_south/image_south_1_0586.png,179.415019,0.009999,179.417255,,,,none,Street,selp_npy_quaternion,w2c
3740,selp_metadata,Street,img_north,img_south,,,Street/img_north/image_north_1_0087.png,Street/img_south/image_south_1_0592.png,179.393010,0.010599,179.398683,,,,none,Street,selp_npy_quaternion,w2c
2065,selp_metadata,Street,img_north,img_south,,,Street/img_north/image_north_1_0093.png,Street/img_south/image_south_1_0587.png,179.350190,0.006744,179.351883,,,,none,Street,selp_npy_quaternion,w2c
2236,selp_metadata,Street,img_north,img_south,,,Street/img_north/image_north_1_0087.png,Street/img_south/image_south_1_0593.png,179.314542,0.025183,179.318239,,,,none,Street,selp_npy_quaternion,w2c
4054,selp_metadata,Street,img_north,img,,,Street/img_north/image_north_2_0128.png,Street/img/image2_001901.png,179.308845,0.047276,179.312202,,,,none,Street,selp_npy_quaternion,w2c
5050,selp_metadata,Street,img,img,,,Street/img/image2_001792.png,Street/img/image2_001874.png,179.273122,0.042100,179.284231,,,,none,Street,selp_npy_quaternion,w2c
4776,selp_metadata,Street,img,img,,,Street/img/image2_001794.png,Street/img/image2_001875.png,179.160822,0.012968,179.166759,,,,none,Street,selp_npy_quaternion,w2c
5270,selp_metadata,Street,img,img_south,,,Street/img/image2_001860.png,Street/img_south/image_south_1_0476.png,179.065466,0.058434,179.065715,,,,none,Street,selp_npy_quaternion,w2c
4330,selp_metadata,Street,img_north,img_south,,,Street/img_north/image_north_1_0082.png,Street/img_south/image_south_1_0598.png,179.014470,0.016027,179.015257,,,,none,Street,selp_npy_quaternion,w2c
4286,selp_metadata,Street,img_north,img_south,,,Street/img_north/image_north_1_0083.png,Street/img_south/image_south_1_0597.png,178.928631,0.013930,178.929744,,,,none,Street,selp_npy_quaternion,w2c
4628,selp_metadata,Street,img,img_south,,,Street/img/image2_002386.png,Street/img_south/image_south_1_0568.png,178.905001,0.001190,178.917211,,,,none,Street,selp_npy_quaternion,w2c
4500,selp_metadata,Street,img_north,img,,,Street/img_north/image_north_1_0519.png,Street/img/image2_000272.png,178.860301,0.036705,178.860361,,,,none,Street,selp_npy_quaternion,w2c
4374,selp_metadata,Street,img_north,img_south,,,Street/img_north/image_north_1_0393.png,Street/img_south/image_south_1_0260.png,178.857877,0.006693,178.871617,,,,none,Street,selp_npy_quaternion,w2c
4044,selp_metadata,Street,img_north,img_south,,,Street/img_north/image_north_1_0123.png,Street/img_south/image_south_1_0555.png,178.829327,0.006514,178.834145,,,,none,Street,selp_npy_quaternion,w2c
4637,selp_metadata,Street,img,img_south,,,Street/img/image2_002321.png,Street/img_south/image_south_1_0602.png,178.820746,0.091522,178.821547,,,,none,Street,selp_npy_quaternion,w2c
4336,selp_metadata,Street,img_north,img_south,,,Street/img_north/image_north_2_0479.png,Street/img_south/image_south_1_0152.png,178.719880,0.115086,178.721255,,,,none,Street,selp_npy_quaternion,w2c
4990,selp_metadata,Street,img,img,,,Street/img/image2_001791.png,Street/img/image2_001874.png,178.705291,0.032739,178.722489,,,,none,Street,selp_npy_quaternion,w2c
4183,selp_metadata,Street,img,img_north,,,Street/img/image2_001900.png,Street/img_north/image_north_1_0176.png,178.658185,0.134075,178.658322,,,,none,Street,selp_npy_quaternion,w2c
3452,selp_metadata,Street,img_north,img,,,Street/img_north/image_north_1_0518.png,Street/img/image2_000263.png,178.647560,0.109459,178.647849,,,,none,Street,selp_npy_quaternion,w2c
5159,selp_metadata,Street,img,img_south,,,Street/img/image2_002386.png,Street/img_south/image_south_1_0567.png,178.583132,0.002782,178.598451,,,,none,Street,selp_npy_quaternion,w2c
2031,selp_metadata,Street,img_north,img_south,,,Street/img_north/image_north_1_0096.png,Street/img_south/image_south_1_0584.png,178.566808,0.039338,178.568062,,,,none,Street,selp_npy_quaternion,w2c
4805,selp_metadata,Street,img,img_north,,,Street/img/image2_001900.png,Street/img_north/image_north_1_0177.png,178.535634,0.134396,178.535780,,,,none,Street,selp_npy_quaternion,w2c
3200,selp_metadata,Street,img_north,img_south,,,Street/img_north/image_north_2_0479.png,Street/img_south/image_south_1_0153.png,178.512727,0.144698,178.514950,,,,none,Street,selp_npy_quaternion,w2c
3372,selp_metadata,Street,img_north,img_south,,,Street/img_north/image_north_2_0422.png,Street/img_south/image_south_1_0209.png,178.480904,0.073527,178.483234,,,,none,Street,selp_npy_quaternion,w2c
4317,selp_metadata,Street,img,img_north,,,Street/img/image2_001901.png,Street/img_north/image_north_1_0177.png,178.480469,0.136784,178.480834,,,,none,Street,selp_npy_quaternion,w2c
5247,selp_metadata,Street,img,img_south,,,Street/img/image2_001600.png,Street/img_south/image_south_1_0439.png,178.367085,0.054798,178.369223,,,,none,Street,selp_npy_quaternion,w2c
5205,selp_metadata,Street,img,img_north,,,Street/img/image2_001901.png,Street/img_north/image_north_1_0176.png,178.363121,0.160667,178.363531,,,,none,Street,selp_npy_quaternion,w2c
