pair_idx,scene_name,sequence_name,split_a,split_b,rel_a,rel_b,yaw_diff_deg,pitch_diff_deg,geodesic_rot_deg,baseline,rot_err_deg,trans_dir_err_deg
2460,GreatCourt,,test,train,GreatCourt/seq1/frame00038.png,GreatCourt/seq3/frame00516.png,50.21719,3.294305,50.324402,0.707494,2.2655561431660978,57.664324915371196
2461,GreatCourt,,test,train,GreatCourt/seq1/frame00039.png,GreatCourt/seq5/frame00264.png,50.531678,1.568219,50.610022,0.691088,1.4210050345866563,33.77748087848158
2466,GreatCourt,,train,train,GreatCourt/seq5/frame00202.png,GreatCourt/seq3/frame00200.png,50.536612,0.842373,50.791487,0.587689,15.047321612528798,27.115020411429036
2467,StMarysChurch,,test,train,StMarysChurch/seq5/frame00043.png,StMarysChurch/seq6/frame00017.png,50.345889,2.89735,50.785101,0.31897,3.2012817613125915,27.843696212134112
2469,GreatCourt,,train,train,GreatCourt/seq5/frame00351.png,GreatCourt/seq3/frame00336.png,50.320662,3.262565,51.443237,0.326925,1.4408235487692433,54.95497068755468
2470,GreatCourt,,test,train,GreatCourt/seq1/frame00091.png,GreatCourt/seq3/frame00236.png,50.534518,6.575272,51.307536,0.816284,0.9754038964950515,17.546535497233624
2473,GreatCourt,,train,train,GreatCourt/seq5/frame00350.png,GreatCourt/seq3/frame00337.png,50.692359,2.71515,51.398599,0.139662,5.195792417554942,78.9069000773546
2474,GreatCourt,,train,train,GreatCourt/seq5/frame00583.png,GreatCourt/seq3/frame00145.png,52.094663,2.772636,52.500644,0.672732,167.5283165306282,67.55196281100609
2475,GreatCourt,,test,train,GreatCourt/seq4/frame00045.png,GreatCourt/seq3/frame00482.png,52.680655,0.509193,52.965245,0.533556,89.01074188377945,69.06102007922118
2476,GreatCourt,,train,train,GreatCourt/seq2/frame00106.png,GreatCourt/seq5/frame00265.png,52.537973,5.270672,52.785948,0.726556,2.9724195232089667,44.81210905906959
2477,GreatCourt,,train,test,GreatCourt/seq5/frame00315.png,GreatCourt/seq1/frame00243.png,51.259868,4.074963,52.211368,0.726866,6.617522208907989,79.50162923660089
2478,GreatCourt,,test,train,GreatCourt/seq1/frame00404.png,GreatCourt/seq5/frame00201.png,52.106309,4.63518,52.600385,0.506505,7.456919274992717,19.731714875443288
2479,GreatCourt,,test,train,GreatCourt/seq4/frame00128.png,GreatCourt/seq2/frame00233.png,51.681134,0.122507,52.457011,0.79759,6.708109580621585,12.124956117424484
2480,GreatCourt,,test,train,GreatCourt/seq1/frame00109.png,GreatCourt/seq3/frame00255.png,51.821265,3.911374,52.032056,0.729228,5.230987956958777,33.13992827070033
