pair_idx,scene_name,rel_a,rel_b,yaw_diff_deg,rot_err_deg,gt_rel_rot_deg,pred_rel_rot_deg,selected_variant,video_direction,rel_eval_target,status
0,Street,Street/img_east/image_east_0266.png,Street/img/image2_001121.png,59.975898,5.350858131846456,61.55598380302603,56.522900643039314,v0_A2B_p1_s1,A2B,direct_A_to_B,ok
1,Street,Street/img_south/image_south_1_0048.png,Street/img/image1_000245.png,62.954206,12.251143190814794,63.11477245240338,51.1708249306259,v3_B2A_p2_s2,B2A,invert_B_to_A_to_match_A_to_B,ok
2,StMarysChurch,StMarysChurch/seq10/frame00046.png,StMarysChurch/seq4/frame00106.png,51.541693,3.427600996376669,56.141373595129444,52.77983693876928,v2_B2A_p1_s1,B2A,invert_B_to_A_to_match_A_to_B,ok
3,GreatCourt,GreatCourt/seq3/frame00318.png,GreatCourt/seq5/frame00368.png,59.341141,106.21048625456935,59.76234729217092,48.205405162236936,v3_B2A_p2_s2,B2A,invert_B_to_A_to_match_A_to_B,ok
4,GreatCourt,GreatCourt/seq2/frame00078.png,GreatCourt/seq3/frame00541.png,55.182398,176.54777618223187,55.80045849013245,120.7534104440728,v1_A2B_p2_s2,A2B,direct_A_to_B,ok
5,Street,Street/img_west/image_west_0422.png,Street/img_south/image_south_1_0424.png,52.357804,5.527231839457098,54.77160929032984,51.1883372224688,v1_A2B_p2_s2,A2B,direct_A_to_B,ok
6,GreatCourt,GreatCourt/seq1/frame00038.png,GreatCourt/seq5/frame00265.png,55.898099,1.9796999763621306,55.97346296601401,57.76035111348824,v3_B2A_p2_s2,B2A,invert_B_to_A_to_match_A_to_B,ok
7,StMarysChurch,StMarysChurch/seq5/frame00045.png,StMarysChurch/seq6/frame00015.png,52.807049,2.0980022381763206,53.07022002226896,51.36199169588802,v0_A2B_p1_s1,A2B,direct_A_to_B,ok
8,StMarysChurch,StMarysChurch/seq4/frame00098.png,StMarysChurch/seq10/frame00036.png,61.173862,4.769398266899738,65.8213666717734,62.58771728232524,v3_B2A_p2_s2,B2A,invert_B_to_A_to_match_A_to_B,ok
9,StMarysChurch,StMarysChurch/seq13/frame00261.png,StMarysChurch/seq12/frame00163.png,51.070971,10.402569507746373,55.30739334904936,62.97749884378992,v0_A2B_p1_s1,A2B,direct_A_to_B,ok
10,Street,Street/img_north/image_north_1_0426.png,Street/img_east/image_east_0382.png,57.36569,5.434605024704831,57.438212376947334,62.79900221618968,v2_B2A_p1_s1,B2A,invert_B_to_A_to_match_A_to_B,ok
11,GreatCourt,GreatCourt/seq5/frame00094.png,GreatCourt/seq1/frame00138.png,56.741743,11.720912800615586,56.864892806582354,46.303174175591465,v3_B2A_p2_s2,B2A,invert_B_to_A_to_match_A_to_B,ok
