pair_idx,scene_name,sequence_name,split_a,split_b,rel_a,rel_b,yaw_diff_deg,pitch_diff_deg,geodesic_rot_deg,baseline,rot_err_deg,trans_dir_err_deg
0,Street,img_east,,,Street/img_east/image_east_0266.png,Street/img/image2_001121.png,59.975898,3.221206,61.555984,nan,4.850757513692653,nan
1,Street,img_south,,,Street/img_south/image_south_1_0048.png,Street/img/image1_000245.png,62.954206,1.738907,63.114772,nan,63.1147724524034,nan
2,StMarysChurch,seq10,,,StMarysChurch/seq10/frame00046.png,StMarysChurch/seq4/frame00106.png,51.541693,17.449371,56.141374,nan,0.9483680127060736,64.67594628404946
3,GreatCourt,seq3,,,GreatCourt/seq3/frame00318.png,GreatCourt/seq5/frame00368.png,59.341141,0.627999,59.762347,nan,5.3550505151705305,55.94577507871932
4,GreatCourt,seq2,,,GreatCourt/seq2/frame00078.png,GreatCourt/seq3/frame00541.png,55.182398,2.701816,55.800458,nan,64.4451246310375,59.80680369588385
5,Street,img_west,,,Street/img_west/image_west_0422.png,Street/img_south/image_south_1_0424.png,52.357804,15.450621,54.771609,nan,2.0706249603759312,nan
6,GreatCourt,seq1,,,GreatCourt/seq1/frame00038.png,GreatCourt/seq5/frame00265.png,55.898099,0.125443,55.973463,nan,2.7201518619606113,72.57265278933811
7,StMarysChurch,seq5,,,StMarysChurch/seq5/frame00045.png,StMarysChurch/seq6/frame00015.png,52.807049,5.072912,53.07022,nan,1.310347737994779,10.301759081800787
8,StMarysChurch,seq4,,,StMarysChurch/seq4/frame00098.png,StMarysChurch/seq10/frame00036.png,61.173862,16.637002,65.821367,nan,2.9625356803828082,21.028134844952888
9,StMarysChurch,seq13,,,StMarysChurch/seq13/frame00261.png,StMarysChurch/seq12/frame00163.png,51.070971,16.178427,55.307393,nan,9.672803662021213,47.07279679884591
10,Street,img_north,,,Street/img_north/image_north_1_0426.png,Street/img_east/image_east_0382.png,57.36569,0.964868,57.438212,nan,4.2560562360224825,nan
11,GreatCourt,seq5,,,GreatCourt/seq5/frame00094.png,GreatCourt/seq1/frame00138.png,56.741743,2.074644,56.864893,nan,3.750551292726083,29.680448971614528
12,GreatCourt,seq4,,,GreatCourt/seq4/frame00130.png,GreatCourt/seq1/frame00169.png,57.759328,0.183857,58.105831,nan,7.289376282191962,55.62257095194983
13,Street,img,,,Street/img/image2_002337.png,Street/img/image2_002433.png,55.900667,3.339749,56.15729,nan,5.879349694000826,nan
14,Street,img_east,,,Street/img_east/image_east_0139.png,Street/img_north/image_north_1_0205.png,64.884822,2.475537,64.998163,nan,58.88869853273831,nan
15,Street,img_south,,,Street/img_south/image_south_1_0044.png,Street/img/image1_000216.png,50.020701,2.022238,50.28021,nan,2.9875776204683837,nan
16,StMarysChurch,seq10,,,StMarysChurch/seq10/frame00046.png,StMarysChurch/seq4/frame00105.png,50.861128,16.252837,54.840936,nan,2.1184051912134447,79.46092904303019
17,GreatCourt,seq3,,,GreatCourt/seq3/frame00316.png,GreatCourt/seq1/frame00187.png,61.944133,2.073461,62.14714,nan,13.84772583854661,54.00307092666123
18,GreatCourt,seq2,,,GreatCourt/seq2/frame00106.png,GreatCourt/seq5/frame00266.png,53.298468,4.819264,53.504421,nan,2.128207233578472,42.71707388391794
19,Street,img_west,,,Street/img_west/image_west_0423.png,Street/img_south/image_south_1_0425.png,53.515433,12.171753,54.943837,nan,6.258470557403246,nan
20,GreatCourt,seq1,,,GreatCourt/seq1/frame00188.png,GreatCourt/seq3/frame00316.png,64.311598,4.238882,64.698041,nan,5.529413585165489,83.94160315626988
21,StMarysChurch,seq5,,,StMarysChurch/seq5/frame00043.png,StMarysChurch/seq6/frame00017.png,50.345926,2.897305,50.785123,nan,3.201443846644909,27.847427282008436
22,StMarysChurch,seq4,,,StMarysChurch/seq4/frame00097.png,StMarysChurch/seq10/frame00036.png,56.312977,18.499023,61.278096,nan,4.124352574591105,72.02629737470666
23,StMarysChurch,seq13,,,StMarysChurch/seq13/frame00050.png,StMarysChurch/seq4/frame00062.png,50.852933,19.938224,56.245988,nan,4.875626480188236,28.572326866391624
24,Street,img_north,,,Street/img_north/image_north_2_0382.png,Street/img/image2_000673.png,60.084633,2.897152,62.594197,nan,5.9485041941946815,nan
25,GreatCourt,seq5,,,GreatCourt/seq5/frame00316.png,GreatCourt/seq3/frame00369.png,64.870134,0.323462,65.517689,nan,65.51765826848103,180.0
26,GreatCourt,seq4,,,GreatCourt/seq4/frame00049.png,GreatCourt/seq3/frame00485.png,60.823333,2.126214,60.868046,nan,77.82303171059898,27.178418398064064
27,Street,img,,,Street/img/image2_000248.png,Street/img/image2_000244.png,62.278,2.117295,62.328841,nan,4.575906141219288,nan
28,Street,img_east,,,Street/img_east/image_east_0267.png,Street/img/image2_001119.png,63.526741,2.350013,65.73891,nan,8.345798336412152,nan
29,GreatCourt,seq3,,,GreatCourt/seq3/frame00148.png,GreatCourt/seq5/frame00588.png,61.415061,0.594266,61.51311,nan,14.957258074107104,10.013874207443838
30,GreatCourt,seq2,,,GreatCourt/seq2/frame00106.png,GreatCourt/seq5/frame00265.png,52.537993,5.270692,52.785971,nan,2.9753088779714645,44.939927693891825
31,GreatCourt,seq1,,,GreatCourt/seq1/frame00552.png,GreatCourt/seq5/frame00468.png,59.792923,3.178692,61.027948,nan,99.1395339699574,88.85058758473178
32,StMarysChurch,seq5,,,StMarysChurch/seq5/frame00023.png,StMarysChurch/seq1/frame00219.png,53.505843,5.292809,54.955863,nan,4.826681995673481,41.11264989625059
33,StMarysChurch,seq13,,,StMarysChurch/seq13/frame00050.png,StMarysChurch/seq4/frame00061.png,53.061544,19.738182,58.122728,nan,3.5959567780452555,82.51955908214526
34,Street,img_north,,,Street/img_north/image_north_2_0383.png,Street/img/image2_000673.png,57.391462,4.846029,60.558362,nan,5.704813244334386,nan
35,GreatCourt,seq5,,,GreatCourt/seq5/frame00300.png,GreatCourt/seq3/frame00540.png,51.794387,5.921695,52.141245,nan,42.52007016089821,34.37163276323339
36,GreatCourt,seq4,,,GreatCourt/seq4/frame00048.png,GreatCourt/seq3/frame00483.png,64.289494,1.455682,64.456347,nan,85.17753069654019,55.23892367875198
37,Street,img,,,Street/img/image2_002343.png,Street/img/image2_002428.png,64.965828,1.652438,65.051739,nan,8.262923017067006,nan
38,Street,img_east,,,Street/img_east/image_east_0129.png,Street/img_north/image_north_2_0152.png,64.936979,4.376748,65.092422,nan,7.600216173395309,nan
39,GreatCourt,seq3,,,GreatCourt/seq3/frame00140.png,GreatCourt/seq5/frame00141.png,58.811426,2.18135,58.892187,nan,176.71345834295158,62.14067658657641
40,GreatCourt,seq2,,,GreatCourt/seq2/frame00104.png,GreatCourt/seq5/frame00267.png,54.811936,5.051717,55.031062,nan,3.3285657870056276,22.025588616697377
41,GreatCourt,seq1,,,GreatCourt/seq1/frame00547.png,GreatCourt/seq5/frame00473.png,58.548915,1.10127,58.667066,nan,6.158795041125747,53.04476092425277
42,StMarysChurch,seq5,,,StMarysChurch/seq5/frame00043.png,StMarysChurch/seq6/frame00016.png,58.153994,1.217925,58.342799,nan,5.730822152690675,75.60463857840827
43,StMarysChurch,seq13,,,StMarysChurch/seq13/frame00262.png,StMarysChurch/seq12/frame00164.png,57.062552,15.807551,61.071151,nan,3.0527286156291935,48.32231272422519
44,Street,img_north,,,Street/img_north/image_north_2_0163.png,Street/img_east/image_east_0141.png,62.804477,4.135351,62.927234,nan,7.4288218133058255,nan
45,GreatCourt,seq5,,,GreatCourt/seq5/frame00351.png,GreatCourt/seq3/frame00336.png,50.320658,3.262627,51.443231,nan,1.398797668309957,57.59161316685377
46,GreatCourt,seq4,,,GreatCourt/seq4/frame00128.png,GreatCourt/seq1/frame00168.png,53.154373,1.316928,53.667825,nan,2.2976854956342643,15.218593148519385
47,Street,img,,,Street/img/image2_001523.png,Street/img_west/image_west_0414.png,59.874767,3.468489,60.200567,nan,2.2643142696796783,nan
48,Street,img_east,,,Street/img_east/image_east_0525.png,Street/img/image2_000031.png,55.304191,0.879695,56.01854,nan,1.3322947276699335,nan
49,GreatCourt,seq3,,,GreatCourt/seq3/frame00190.png,GreatCourt/seq5/frame00191.png,53.830221,0.935106,53.837939,nan,127.35910236162543,24.706074331909427
50,GreatCourt,seq2,,,GreatCourt/seq2/frame00104.png,GreatCourt/seq5/frame00266.png,55.50902,2.589654,55.566717,nan,2.2479506889148038,1.8783264892529477
51,GreatCourt,seq1,,,GreatCourt/seq1/frame00091.png,GreatCourt/seq3/frame00236.png,50.534504,6.575303,51.307525,nan,1.4101955540424471,18.57011277820013
52,StMarysChurch,seq5,,,StMarysChurch/seq5/frame00044.png,StMarysChurch/seq6/frame00015.png,55.225982,6.608973,55.839389,nan,0.8028730422219893,8.076109609624476
53,Street,img_north,,,Street/img_north/image_north_1_0109.png,Street/img/image2_002393.png,59.015296,1.303172,61.747837,nan,5.8888182496282235,nan
54,GreatCourt,seq5,,,GreatCourt/seq5/frame00376.png,GreatCourt/seq3/frame00314.png,60.219252,0.624198,62.443133,nan,62.44312765012878,180.0
55,GreatCourt,seq4,,,GreatCourt/seq4/frame00128.png,GreatCourt/seq2/frame00233.png,51.681172,0.122536,52.457057,nan,6.7091582660602285,12.120189075229904
56,Street,img,,,Street/img/image2_000293.png,Street/img/image2_000254.png,61.917187,4.745384,62.165151,nan,5.135819917409998,nan
57,Street,img_east,,,Street/img_east/image_east_0226.png,Street/img/image2_001298.png,57.569417,6.837747,58.209936,nan,8.153269856119241,nan
58,GreatCourt,seq3,,,GreatCourt/seq3/frame00138.png,GreatCourt/seq5/frame00572.png,62.571747,2.404964,62.87637,nan,87.92883034166428,49.83891637914066
59,GreatCourt,seq2,,,GreatCourt/seq2/frame00082.png,GreatCourt/seq5/frame00294.png,59.573129,9.256117,60.429084,nan,1.1060648009101681,35.92471055102633
60,GreatCourt,seq1,,,GreatCourt/seq1/frame00193.png,GreatCourt/seq3/frame00323.png,59.209895,2.915817,59.287229,nan,22.518445667308423,83.10954800453328
61,Street,img_north,,,Street/img_north/image_north_1_0458.png,Street/img_east/image_east_0416.png,55.254535,2.490401,55.582898,nan,3.399989122425264,nan
62,GreatCourt,seq5,,,GreatCourt/seq5/frame00353.png,GreatCourt/seq1/frame00203.png,56.379565,7.555912,57.172223,nan,5.785289109077228,18.44216559388575
63,GreatCourt,seq4,,,GreatCourt/seq4/frame00130.png,GreatCourt/seq1/frame00168.png,53.369228,1.387911,53.788154,nan,3.6107641207951024,7.068735908561952
64,Street,img,,,Street/img/image2_001785.png,Street/img_east/image_east_0125.png,50.63714,8.90133,52.930106,nan,3.5908607830675683,nan
65,Street,img_east,,,Street/img_east/image_east_0227.png,Street/img/image2_001299.png,56.56247,8.377901,57.192433,nan,4.432373225302204,nan
66,GreatCourt,seq3,,,GreatCourt/seq3/frame00149.png,GreatCourt/seq5/frame00588.png,64.279627,1.405014,64.496044,nan,90.89924731410044,19.591923275140193
67,GreatCourt,seq2,,,GreatCourt/seq2/frame00105.png,GreatCourt/seq5/frame00267.png,56.342509,3.316167,56.433689,nan,1.4962581900306078,8.436503922293932
68,GreatCourt,seq1,,,GreatCourt/seq1/frame00111.png,GreatCourt/seq3/frame00255.png,54.832442,6.296675,55.2816,nan,1.0958762551675783,39.56216326932376
69,Street,img_north,,,Street/img_north/image_north_1_0425.png,Street/img_east/image_east_0380.png,63.870937,1.572418,63.890389,nan,2.600860229073803,nan
70,GreatCourt,seq5,,,GreatCourt/seq5/frame00354.png,GreatCourt/seq1/frame00202.png,59.825873,6.146908,60.194353,nan,7.2607147273737125,33.559934960601375
71,GreatCourt,seq4,,,GreatCourt/seq4/frame00129.png,GreatCourt/seq1/frame00168.png,54.952665,1.033303,55.416059,nan,4.880626624208474,29.34105931779977
72,Street,img,,,Street/img/image2_002340.png,Street/img/image2_002432.png,57.518114,6.090878,57.940749,nan,5.946655457462139,nan
73,Street,img_east,,,Street/img_east/image_east_0268.png,Street/img/image2_001119.png,59.256422,1.471334,61.455908,nan,7.739238226109938,nan
74,GreatCourt,seq3,,,GreatCourt/seq3/frame00321.png,GreatCourt/seq1/frame00192.png,64.389681,5.85706,64.681419,nan,8.813846058097289,5.085647662474157
75,GreatCourt,seq2,,,GreatCourt/seq2/frame00083.png,GreatCourt/seq5/frame00294.png,59.293932,7.827446,60.275643,nan,2.8352676784442914,70.23809958480602
76,GreatCourt,seq1,,,GreatCourt/seq1/frame00405.png,GreatCourt/seq5/frame00201.png,52.340551,4.614073,52.798218,nan,52.798189052159145,180.0
77,Street,img_north,,,Street/img_north/image_north_2_0235.png,Street/img/image2_001386.png,61.977309,0.662487,63.211509,nan,3.9091286148852884,nan
78,GreatCourt,seq5,,,GreatCourt/seq5/frame00255.png,GreatCourt/seq3/frame00507.png,52.092967,5.829741,52.890738,nan,52.89072437632687,180.0
79,GreatCourt,seq4,,,GreatCourt/seq4/frame00128.png,GreatCourt/seq2/frame00234.png,53.06553,1.13377,53.431314,nan,8.42985849537219,78.62849368970014
80,Street,img,,,Street/img/image2_002337.png,Street/img/image2_002435.png,54.196474,1.269042,54.909906,nan,2.076230936185281,nan
81,Street,img_east,,,Street/img_east/image_east_0438.png,Street/img/image2_000432.png,55.167783,0.031233,57.440954,nan,10.467687340825977,nan
82,GreatCourt,seq1,,,GreatCourt/seq1/frame00334.png,GreatCourt/seq3/frame00445.png,61.246602,2.006892,61.281141,nan,168.50732577651368,58.85214461478207
83,Street,img_north,,,Street/img_north/image_north_1_0428.png,Street/img_east/image_east_0383.png,64.882149,0.208388,64.884406,nan,0.8392813077727275,nan
84,GreatCourt,seq5,,,GreatCourt/seq5/frame00318.png,GreatCourt/seq1/frame00240.png,52.932312,6.026303,53.288703,nan,6.914584211533096,84.06177399837306
85,GreatCourt,seq4,,,GreatCourt/seq4/frame00045.png,GreatCourt/seq3/frame00482.png,52.680637,0.509147,52.96522,nan,88.33839979375564,69.43555170750399
86,Street,img,,,Street/img/image2_000208.png,Street/img/image2_000188.png,59.839877,0.231768,59.847664,nan,3.1543278301175524,nan
87,Street,img_east,,,Street/img_east/image_east_0226.png,Street/img/image2_001299.png,55.836578,7.881368,56.519123,nan,3.150596698214876,nan
88,GreatCourt,seq1,,,GreatCourt/seq1/frame00039.png,GreatCourt/seq5/frame00264.png,50.531646,1.568173,50.60999,nan,1.4320750499983428,34.26954472693025
89,Street,img_north,,,Street/img_north/image_north_1_0517.png,Street/img/image2_000300.png,60.424118,1.95899,60.530406,nan,3.136550023991833,nan
