pair_idx,scene_name,rel_a,rel_b,yaw_diff_deg,rot_err_deg,gt_rel_rot_deg,pred_rel_rot_deg,selected_variant,video_direction,rel_eval_target,status
0,Street,Street/img_east/image_east_0266.png,Street/img/image2_001121.png,59.975898,7.194561848492814,61.55598380302603,55.19591119876697,v0_A2B_p1_s1,A2B,subset_start_end_0_1,ok
1,Street,Street/img_south/image_south_1_0048.png,Street/img/image1_000245.png,62.954206,19.48565775601668,63.11477245240338,43.60254558266725,v3_B2A_p2_s2,B2A,subset_start_end_0_1,ok
2,StMarysChurch,StMarysChurch/seq10/frame00046.png,StMarysChurch/seq4/frame00106.png,51.541693,0.0,56.141373595129444,56.343689162958825,v2_B2A_p1_s1,B2A,subset_start_end_0_1,ok
3,GreatCourt,GreatCourt/seq3/frame00318.png,GreatCourt/seq5/frame00368.png,59.341141,89.53259844754523,59.76234729217092,31.378456947748983,v3_B2A_p2_s2,B2A,subset_start_end_0_1,ok
4,GreatCourt,GreatCourt/seq2/frame00078.png,GreatCourt/seq3/frame00541.png,55.182398,8.787833173528478,55.80045849013245,46.545410326248835,v1_A2B_p2_s2,A2B,subset_start_end_0_1,ok
5,Street,Street/img_west/image_west_0422.png,Street/img_south/image_south_1_0424.png,52.357804,3.822579574450013,54.77160929032984,50.34178571737424,v1_A2B_p2_s2,A2B,subset_start_end_0_1,ok
6,GreatCourt,GreatCourt/seq1/frame00038.png,GreatCourt/seq5/frame00265.png,55.898099,2.5873713028752023,55.97346296601401,57.34846064847206,v3_B2A_p2_s2,B2A,subset_start_end_0_1,ok
7,StMarysChurch,StMarysChurch/seq5/frame00045.png,StMarysChurch/seq6/frame00015.png,52.807049,3.207436794138687,53.07022002226896,52.00196394758944,v0_A2B_p1_s1,A2B,subset_start_end_0_1,ok
8,StMarysChurch,StMarysChurch/seq4/frame00098.png,StMarysChurch/seq10/frame00036.png,61.173862,3.352748035321687,65.8213666717734,66.65034038147661,v3_B2A_p2_s2,B2A,subset_start_end_0_1,ok
9,StMarysChurch,StMarysChurch/seq13/frame00261.png,StMarysChurch/seq12/frame00163.png,51.070971,4.402880910048066,55.30739334904936,55.66888202312378,v0_A2B_p1_s1,A2B,subset_start_end_0_1,ok
10,Street,Street/img_north/image_north_1_0426.png,Street/img_east/image_east_0382.png,57.36569,4.446197378462738,57.438212376947334,62.37351435284958,v2_B2A_p1_s1,B2A,subset_start_end_0_1,ok
11,GreatCourt,GreatCourt/seq5/frame00094.png,GreatCourt/seq1/frame00138.png,56.741743,5.103201870479881,56.864892806582354,51.10342770072629,v3_B2A_p2_s2,B2A,subset_start_end_0_1,ok
12,GreatCourt,GreatCourt/seq4/frame00130.png,GreatCourt/seq1/frame00169.png,57.759328,8.095363271235147,58.10583104944129,67.16194274189903,v3_B2A_p2_s2,B2A,subset_start_end_0_1,ok
13,Street,Street/img/image2_002337.png,Street/img/image2_002433.png,55.900667,2.5548737938247394,56.15729029859239,57.49304502143104,v0_A2B_p1_s1,A2B,subset_start_end_0_1,ok
14,Street,Street/img_east/image_east_0139.png,Street/img_north/image_north_1_0205.png,64.884822,10.81748071448063,64.9981634698925,53.89721963717878,v3_B2A_p2_s2,B2A,subset_start_end_0_1,ok
15,Street,Street/img_south/image_south_1_0044.png,Street/img/image1_000216.png,50.020701,2.6772698784347155,50.28021038081052,46.9036258079848,v2_B2A_p1_s1,B2A,subset_start_end_0_1,ok
16,StMarysChurch,StMarysChurch/seq10/frame00046.png,StMarysChurch/seq4/frame00105.png,50.861128,2.3924530360999055,54.84093589089983,56.65782545524238,v3_B2A_p2_s2,B2A,subset_start_end_0_1,ok
17,GreatCourt,GreatCourt/seq3/frame00316.png,GreatCourt/seq1/frame00187.png,61.944133,175.09176644645035,62.1471395799323,123.075863288308,v2_B2A_p1_s1,B2A,subset_start_end_0_1,ok
18,GreatCourt,GreatCourt/seq2/frame00106.png,GreatCourt/seq5/frame00266.png,53.298468,2.7857380733417756,53.50442102409213,56.51211543977008,v2_B2A_p1_s1,B2A,subset_start_end_0_1,ok
19,Street,Street/img_west/image_west_0423.png,Street/img_south/image_south_1_0425.png,53.515433,7.644616600483744,54.94383671179163,47.18613611536321,v3_B2A_p2_s2,B2A,subset_start_end_0_1,ok
20,GreatCourt,GreatCourt/seq1/frame00188.png,GreatCourt/seq3/frame00316.png,64.311598,73.0445009685518,64.6980408220294,137.54013008064766,v1_A2B_p2_s2,A2B,subset_start_end_0_1,ok
21,StMarysChurch,StMarysChurch/seq5/frame00043.png,StMarysChurch/seq6/frame00017.png,50.345926,4.43602706534486,50.78512345257896,51.78369620534752,v0_A2B_p1_s1,A2B,subset_start_end_0_1,ok
22,StMarysChurch,StMarysChurch/seq4/frame00097.png,StMarysChurch/seq10/frame00036.png,56.312977,0.0,61.27809648197042,60.338779343726124,v3_B2A_p2_s2,B2A,subset_start_end_0_1,ok
23,StMarysChurch,StMarysChurch/seq13/frame00050.png,StMarysChurch/seq4/frame00062.png,50.852933,0.0,56.24598773584118,57.92341357273044,v3_B2A_p2_s2,B2A,subset_start_end_0_1,ok
24,Street,Street/img_north/image_north_2_0382.png,Street/img/image2_000673.png,60.084633,4.312401267994583,62.59419711031648,58.888798184612924,v3_B2A_p2_s2,B2A,subset_start_end_0_1,ok
25,GreatCourt,GreatCourt/seq5/frame00316.png,GreatCourt/seq3/frame00369.png,64.870134,0.0,65.51768934066007,64.42349392595331,v0_A2B_p1_s1,A2B,subset_start_end_0_1,ok
26,GreatCourt,GreatCourt/seq4/frame00049.png,GreatCourt/seq3/frame00485.png,60.823333,82.92191921381084,60.86804625278731,143.5833866001712,v0_A2B_p1_s1,A2B,subset_start_end_0_1,ok
27,Street,Street/img/image2_000248.png,Street/img/image2_000244.png,62.278,14.162445917404174,62.3288411253236,47.90780360886064,v3_B2A_p2_s2,B2A,subset_start_end_0_1,ok
28,Street,Street/img_east/image_east_0267.png,Street/img/image2_001119.png,63.526741,5.914467970780521,65.73891049786403,64.26461533020611,v3_B2A_p2_s2,B2A,subset_start_end_0_1,ok
