pair_idx,object_id,scene_a,scene_b,rel_a,rel_b,yaw_diff_deg,rot_err_deg,trans_dir_err_deg
0,3d_dollhouse_sink,multiview-07-pixel_7,multiview-07-pixel_7,3d_dollhouse_sink/multiview-07-pixel_7/images/032.jpg,3d_dollhouse_sink/multiview-07-pixel_7/images/033.jpg,68.422476,1.9871029770232995,4.138823434255609
1,bottle_vitamin_d_tablets,multiview-04-pixel_6pro,multiview-04-pixel_6pro,bottle_vitamin_d_tablets/multiview-04-pixel_6pro/images/020.jpg,bottle_vitamin_d_tablets/multiview-04-pixel_6pro/images/021.jpg,68.708133,5.569899801276782,6.302465371603838
2,box_multi_door_colored,multiview-04-pixel_6pro,multiview-04-pixel_6pro,box_multi_door_colored/multiview-04-pixel_6pro/images/019.jpg,box_multi_door_colored/multiview-04-pixel_6pro/images/021.jpg,75.343656,4.33231982786029,1.7952661900500875
3,bunny_racer,multiview-07-ipad_4,multiview-07-ipad_4,bunny_racer/multiview-07-ipad_4/images/016.jpg,bunny_racer/multiview-07-ipad_4/images/018.jpg,79.238085,3.9436670908533467,1.4648785043414447
4,can_kernel_corn,multiview-04-pixel_6pro,multiview-04-pixel_6pro,can_kernel_corn/multiview-04-pixel_6pro/images/020.jpg,can_kernel_corn/multiview-04-pixel_6pro/images/024.jpg,50.253115,8.798542259323332,2.0419780652542543
5,chicken_racer,multiview-11-pixel_5,multiview-11-pixel_5,chicken_racer/multiview-11-pixel_5/images/033.jpg,chicken_racer/multiview-11-pixel_5/images/036.jpg,69.643321,1.8481712076274195,1.2858330939219864
6,circo_fish_toothbrush_holder_14995988,multiview-15-canon_t4i,multiview-15-canon_t4i,circo_fish_toothbrush_holder_14995988/multiview-15-canon_t4i/images/155.jpg,circo_fish_toothbrush_holder_14995988/multiview-15-canon_t4i/images/177.jpg,62.994617,5.355495971782094,2.113188896567494
7,dino_4,multiview-10-pixel_4xl,multiview-10-pixel_4xl,dino_4/multiview-10-pixel_4xl/images/040.jpg,dino_4/multiview-10-pixel_4xl/images/050.jpg,73.294828,2.170685150155615,12.99576186547145
8,dino_5,multiview-12-pixel_7,multiview-12-pixel_7,dino_5/multiview-12-pixel_7/images/040.jpg,dino_5/multiview-12-pixel_7/images/042.jpg,82.682462,5.185762896780801,4.447878561912932
9,duck_bath_yellow_s,multiview-00-pixel_4a,multiview-00-pixel_4a,duck_bath_yellow_s/multiview-00-pixel_4a/images/017.jpg,duck_bath_yellow_s/multiview-00-pixel_4a/images/019.jpg,74.849497,3.951255578145047,6.568225191589849
10,fire_engine_toy_red_yellow_s,multiview-00-pixel_4a,multiview-00-pixel_4a,fire_engine_toy_red_yellow_s/multiview-00-pixel_4a/images/022.jpg,fire_engine_toy_red_yellow_s/multiview-00-pixel_4a/images/024.jpg,63.512715,2.3173022110797543,6.307403950088185
11,garbage_truck_green_toy_s,multiview-02-pixel_6pro,multiview-02-pixel_6pro,garbage_truck_green_toy_s/multiview-02-pixel_6pro/images/020.jpg,garbage_truck_green_toy_s/multiview-02-pixel_6pro/images/023.jpg,69.693879,6.877932401688318,6.231057529535874
12,hand_drill_cordless_blue_black,multiview-02-pixel_6pro,multiview-02-pixel_6pro,hand_drill_cordless_blue_black/multiview-02-pixel_6pro/images/021.jpg,hand_drill_cordless_blue_black/multiview-02-pixel_6pro/images/024.jpg,81.109427,6.294320583778368,1.9158481894285015
13,hut_mushrooms_showpiece,multiview-01-pixel_4a,multiview-01-pixel_4a,hut_mushrooms_showpiece/multiview-01-pixel_4a/images/018.jpg,hut_mushrooms_showpiece/multiview-01-pixel_4a/images/019.jpg,85.315625,1.0888523094229325,5.594024948317939
14,ice_cream_cart_showpiece,multiview-01-pixel_4a,multiview-01-pixel_4a,ice_cream_cart_showpiece/multiview-01-pixel_4a/images/016.jpg,ice_cream_cart_showpiece/multiview-01-pixel_4a/images/018.jpg,82.741981,6.049295695424067,12.379157184415655
15,keywest_showpiece_s,multiview-00-pixel_6pro,multiview-00-pixel_6pro,keywest_showpiece_s/multiview-00-pixel_6pro/images/022.jpg,keywest_showpiece_s/multiview-00-pixel_6pro/images/024.jpg,52.953451,1.853011584981004,9.275363111008549
16,paper_weight_flowers_showpiece,multiview-01-pixel_4a,multiview-01-pixel_4a,paper_weight_flowers_showpiece/multiview-01-pixel_4a/images/018.jpg,paper_weight_flowers_showpiece/multiview-01-pixel_4a/images/019.jpg,79.209811,2.6611538911712382,3.454110099956219
17,pumpkin_showpiece_s,multiview-02-pixel_6pro,multiview-02-pixel_6pro,pumpkin_showpiece_s/multiview-02-pixel_6pro/images/015.jpg,pumpkin_showpiece_s/multiview-02-pixel_6pro/images/018.jpg,59.007279,3.7891461906517905,4.174095125464172
18,remote_control_toy_car_s,multiview-04-pixel_6pro,multiview-04-pixel_6pro,remote_control_toy_car_s/multiview-04-pixel_6pro/images/022.jpg,remote_control_toy_car_s/multiview-04-pixel_6pro/images/024.jpg,83.49675,3.122038730976516,4.006732234899522
19,schleich_african_black_rhino,multiview-10-ipad_5,multiview-10-ipad_5,schleich_african_black_rhino/multiview-10-ipad_5/images/033.jpg,schleich_african_black_rhino/multiview-10-ipad_5/images/034.jpg,65.70664,7.570953791043691,7.801340721683504
20,schleich_bald_eagle,multiview-11-pixel_7,multiview-11-pixel_7,schleich_bald_eagle/multiview-11-pixel_7/images/043.jpg,schleich_bald_eagle/multiview-11-pixel_7/images/045.jpg,73.571929,2.966981600558607,5.1894350104602704
