pair_idx,rel_a,rel_b,scene,yaw_diff_deg,pitch_diff_deg,rot_deg,rot_err_deg,trans_dir_err_deg
0,cbd44beb04f9c98f2d2c5affff89a6e0a72c25f1aa0c6f660fbd9e4d26702f8b/colmap/images/frame_00144.png,cbd44beb04f9c98f2d2c5affff89a6e0a72c25f1aa0c6f660fbd9e4d26702f8b/colmap/images/frame_00295.png,cbd44beb04f9,80.4354,13.3876,84.8099,2.846075317732901,1.4054172062225843
1,800cf88687a79c232700454c2f5a402e771bc7157037a17b0ce93da365b25575/colmap/images/frame_00124.png,800cf88687a79c232700454c2f5a402e771bc7157037a17b0ce93da365b25575/colmap/images/frame_00297.png,800cf88687a7,64.7472,2.0819,65.7442,1.5340576731984492,1.572183145375017
2,ba55c875d20c34ee85ffc72264c4d77710852e5fb7d9ce4b9c26a8442850e98f/colmap/images/frame_00233.png,ba55c875d20c34ee85ffc72264c4d77710852e5fb7d9ce4b9c26a8442850e98f/colmap/images/frame_00346.png,ba55c875d20c,86.8103,7.7188,87.5603,7.953635466904506,2.6198217786640337
3,ba55c875d20c34ee85ffc72264c4d77710852e5fb7d9ce4b9c26a8442850e98f/colmap/images/frame_00009.png,ba55c875d20c34ee85ffc72264c4d77710852e5fb7d9ce4b9c26a8442850e98f/colmap/images/frame_00266.png,ba55c875d20c,51.522,10.0983,52.7375,8.755762723437902,9.646053887391684
4,800cf88687a79c232700454c2f5a402e771bc7157037a17b0ce93da365b25575/colmap/images/frame_00019.png,800cf88687a79c232700454c2f5a402e771bc7157037a17b0ce93da365b25575/colmap/images/frame_00051.png,800cf88687a7,52.2973,2.0307,53.1498,1.5140613392520774,0.714558927410554
5,9c8c0e0fadd97abf60088f667eba058ef077a71a8c0f5a4eff2782aa97f1ceb8/colmap/images/frame_00300.png,9c8c0e0fadd97abf60088f667eba058ef077a71a8c0f5a4eff2782aa97f1ceb8/colmap/images/frame_00315.png,9c8c0e0fadd9,68.6179,0.7538,69.4187,1.7745031115512782,2.337806203202985
6,9c8c0e0fadd97abf60088f667eba058ef077a71a8c0f5a4eff2782aa97f1ceb8/colmap/images/frame_00315.png,9c8c0e0fadd97abf60088f667eba058ef077a71a8c0f5a4eff2782aa97f1ceb8/colmap/images/frame_00388.png,9c8c0e0fadd9,79.2019,1.3454,79.392,5.067124160270892,2.209882782660419
7,cbd44beb04f9c98f2d2c5affff89a6e0a72c25f1aa0c6f660fbd9e4d26702f8b/colmap/images/frame_00014.png,cbd44beb04f9c98f2d2c5affff89a6e0a72c25f1aa0c6f660fbd9e4d26702f8b/colmap/images/frame_00245.png,cbd44beb04f9,81.9637,13.0762,82.7714,2.424889717849425,0.5011687472820426
8,dac9796dd69e1c25277e29d7e30af4f21e3b575d62a0a208c2b3d1211e2d5d77/colmap/images/frame_00084.png,dac9796dd69e1c25277e29d7e30af4f21e3b575d62a0a208c2b3d1211e2d5d77/colmap/images/frame_00198.png,dac9796dd69e,82.9736,14.1185,84.6952,0.6895504259277201,2.6435956584026097
9,cbd44beb04f9c98f2d2c5affff89a6e0a72c25f1aa0c6f660fbd9e4d26702f8b/colmap/images/frame_00145.png,cbd44beb04f9c98f2d2c5affff89a6e0a72c25f1aa0c6f660fbd9e4d26702f8b/colmap/images/frame_00299.png,cbd44beb04f9,88.7371,12.8972,92.7571,2.0499803757964927,0.3453649933174185
